CONTIG AVERAGE.DEPTH MEDIAN.DEPTH MIN.DEPTH MAX.DEPTH 
HR434A1_contig0_len749_circularized 1051.66 1229 21 1412
HR434A1_contig100_len742_circularized 79.0291 89 2 121
HR434A1_contig103_len747_circularized 1298.87 1144 21 2451
HR434A1_contig104_len795 223.902 256 5 304
HR434A1_contig105_len841 811.967 894 44 1085
HR434A1_contig106_len759_circularized 1887.88 2244 29 2475
HR434A1_contig107_len1501_circularized 437.712 477 0 558
HR434A1_contig108_len749_circularized 187.396 207 8 326
HR434A1_contig109_len741_circularized 1060.89 1220 26 1480
HR434A1_contig110_len830 255.304 302 1 346
HR434A1_contig115_len751_circularized 41.4806 28 0 141
HR434A1_contig116_len740_circularized 98.4551 108 3 155
HR434A1_contig118_len749_circularized 480.301 547 18 649
HR434A1_contig11_len750_circularized 750.373 887 17 976
HR434A1_contig120_len739_circularized 372.276 437 16 492
HR434A1_contig121_len703 1394.81 1673 63 1908
HR434A1_contig122_len870 359.834 414 3 487
HR434A1_contig124_len737_circularized 640.329 756 18 838
HR434A1_contig125_len1476_circularized 787.59 812 5 1042
HR434A1_contig127_len749_circularized 53.8454 40 2 164
HR434A1_contig128_len740_circularized 67.236 79 0 101
HR434A1_contig12_len739_circularized 240.134 267 8 339
HR434A1_contig132_len740_circularized 389.452 463.5 13 515
HR434A1_contig133_len751_circularized 134.351 157 1 183
HR434A1_contig134_len751_circularized 504.488 585 15 683
HR434A1_contig135_len741_circularized 80.0853 82 3 147
HR434A1_contig136_len742_circularized 421.974 496 12 570
HR434A1_contig137_len740_circularized 1262.73 1500.5 36 1668
HR434A1_contig140_len762_circularized 207.732 229 6 313
HR434A1_contig141_len751_circularized 97.4051 89 1 234
HR434A1_contig142_len734_circularized 548.466 640.5 19 740
HR434A1_contig146_len740_circularized 270.165 301 7 381
HR434A1_contig148_len741_circularized 177.641 209 2 243
HR434A1_contig149_len741_circularized 75.8496 88 4 107
HR434A1_contig14_len752_circularized 621.251 733 15 802
HR434A1_contig150_len751_circularized 89.3108 96 3 153
HR434A1_contig151_len748_circularized 17.402 19 0 30
HR434A1_contig152_len741_circularized 103.515 111 2 177
HR434A1_contig153_len749_circularized 51.4427 58 0 79
HR434A1_contig154_len739_circularized 1134.93 1330 33 1515
HR434A1_contig16_len1561 472.303 330 1 1070
HR434A1_contig17_len740_circularized 55.8337 60 0 92
HR434A1_contig20_len750_circularized 634.338 714 17 873
HR434A1_contig24_len758_circularized 52.1487 10 0 281
HR434A1_contig25_len751_circularized 397.778 464 10 530
HR434A1_contig27_len741_circularized 612.545 709 21 830
HR434A1_contig28_len870 23.4678 25 3 37
HR434A1_contig29_len761_circularized 103.227 114 3 187
HR434A1_contig2_len742_circularized 1433.86 1712.5 43 1905
HR434A1_contig30_len754_circularized 135.227 157 7 187
HR434A1_contig31_len751_circularized 119.796 135 1 189
HR434A1_contig34_len740_circularized 751.145 877 21 1022
HR434A1_contig36_len744_circularized 288.07 323.5 11 442
HR434A1_contig37_len750_circularized 4375.4 5047 146 5803
HR434A1_contig38_len742_circularized 343.9 397 12 517
HR434A1_contig3_len740_circularized 350.794 408 6 484
HR434A1_contig40_len742_circularized 534.378 602 11 752
HR434A1_contig42_len796 273.844 312 21 377
HR434A1_contig43_len743_circularized 166.091 190 5 227
HR434A1_contig44_len751_circularized 744.516 866 19 1007
HR434A1_contig46_len890 708.938 817 21 947
HR434A1_contig47_len767 13.4615 15 0 23
HR434A1_contig49_len740_circularized 202.297 238 0 319
HR434A1_contig4_len739_circularized 17.9449 15 0 53
HR434A1_contig52_len749_circularized 3002.94 3517 64 3919
HR434A1_contig53_len740_circularized 702.488 765 27 1130
HR434A1_contig54_len1481_circularized 349.17 367 1 477
HR434A1_contig55_len752_circularized 776.861 915 28 1025
HR434A1_contig56_len742_circularized 248.084 288 7 356
HR434A1_contig58_len740_circularized 188.33 178 9 401
HR434A1_contig59_len858 42.5653 41 6 84
HR434A1_contig5_len751_circularized 595.191 698 23 770
HR434A1_contig60_len760_circularized 602.926 687 27 823
HR434A1_contig61_len875 1285.28 1580 1 1771
HR434A1_contig63_len748_circularized 349.595 415 11 464
HR434A1_contig65_len886 50.1975 53 1 82
HR434A1_contig69_len739_circularized 483.717 571 15 669
HR434A1_contig70_len709_circularized 624.516 745 20 827
HR434A1_contig71_len749_circularized 99.9755 117 0 143
HR434A1_contig72_len740_circularized 143.24 165 6 208
HR434A1_contig74_len740_circularized 469.097 557 10 611
HR434A1_contig75_len740_circularized 1408.07 1661.5 55 1858
HR434A1_contig78_len739_circularized 586.387 678 19 795
HR434A1_contig7_len750_circularized 991.204 1163 30 1321
HR434A1_contig80_len1499_circularized 226.128 177 1 413
HR434A1_contig81_len1493_circularized 901.673 723 7 1514
HR434A1_contig85_len709_circularized 692.304 824 17 904
HR434A1_contig87_len747_circularized 76.1728 87 2 112
HR434A1_contig89_len758_circularized 175.193 206 0 254
HR434A1_contig90_len1211 785.389 426 22 2254
HR434A1_contig91_len847 246.233 280 13 323
HR434A1_contig92_len750_circularized 854.976 1009 20 1165
HR434A1_contig95_len750_circularized 305.679 351 13 432
HR434A1_contig97_len750_circularized 374.597 398 19 638
