CONTIG AVERAGE.DEPTH MEDIAN.DEPTH MIN.DEPTH MAX.DEPTH 
CUM29A1_contig103_len749_circularized 287.626 336 4 423
CUM29A1_contig105_len740_circularized 5617.56 6523.5 180 7728
CUM29A1_contig106_len739_circularized 1639.65 1987 47 2242
CUM29A1_contig107_len752_circularized 991.641 1164 29 1364
CUM29A1_contig109_len807 71.5527 65 1 191
CUM29A1_contig110_len740_circularized 278.342 241 6 966
CUM29A1_contig112_len742_circularized 1059.39 1245 42 1430
CUM29A1_contig114_len749_circularized 751.147 856 19 1273
CUM29A1_contig117_len599 58.8514 66 1 92
CUM29A1_contig118_len931 64.7454 73 0 146
CUM29A1_contig123_len1278 1075.87 266 34 3215
CUM29A1_contig124_len905 656.249 811 1 883
CUM29A1_contig126_len760 50.7461 44 4 106
CUM29A1_contig128_len873 968.218 1088 5 1194
CUM29A1_contig129_len749_circularized 393.358 464 8 603
CUM29A1_contig130_len867 324.302 55 2 2375
CUM29A1_contig137_len739_circularized 329.201 284 7 1140
CUM29A1_contig138_len1633 228.326 110 1 524
CUM29A1_contig13_len761_circularized 633.84 717 33 886
CUM29A1_contig144_len758_circularized 117.217 125 3 223
CUM29A1_contig146_len916 929.475 1127 1 1275
CUM29A1_contig147_len742_circularized 199.174 222 4 337
CUM29A1_contig148_len750_circularized 44.9656 31 1 189
CUM29A1_contig149_len750_circularized 4442.08 5409 145 5914
CUM29A1_contig151_len745_circularized 476.413 534 10 810
CUM29A1_contig152_len749_circularized 2753.72 3290 114 3656
CUM29A1_contig154_len934 38.5985 37 3 94
CUM29A1_contig156_len740_circularized 98.3663 95 1 262
CUM29A1_contig157_len750_circularized 1016.38 1200 39 1364
CUM29A1_contig15_len750_circularized 873.817 1016.5 16 1379
CUM29A1_contig160_len730_circularized 85.1148 90 0 218
CUM29A1_contig161_len738_circularized 157.007 167 0 302
CUM29A1_contig162_len813 697.433 747 3 1197
CUM29A1_contig163_len1602 2814.99 316.5 0 7062
CUM29A1_contig165_len870 1514.76 1741 15 1873
CUM29A1_contig166_len708 298 335 8 377
CUM29A1_contig168_len956 1265.69 1653.5 0 1837
CUM29A1_contig169_len740_circularized 227.939 176 2 907
CUM29A1_contig16_len741_circularized 1819.01 2160 58 2494
CUM29A1_contig174_len740_circularized 60.6483 51 1 221
CUM29A1_contig176_len693 32.684 30 1 73
CUM29A1_contig17_len471 618.299 754 3 871
CUM29A1_contig181_len739_circularized 60.5028 36 0 310
CUM29A1_contig189_len760_circularized 85.3824 30 2 571
CUM29A1_contig18_len496 1426.12 1366 5 2889
CUM29A1_contig190_len749_circularized 88.9399 76 2 292
CUM29A1_contig192_len483 244.358 265 2 362
CUM29A1_contig193_len741_circularized 69.991 36 1 396
CUM29A1_contig194_len749_circularized 181.118 161 7 547
CUM29A1_contig197_len740_circularized 1441.35 1518 31 2563
CUM29A1_contig198_len831 1725.43 2038 4 2248
CUM29A1_contig199_len706 374.329 448 5 502
CUM29A1_contig19_len760_circularized 2136.31 2560 67 2896
CUM29A1_contig200_len751_circularized 1237.75 1447 46 1790
CUM29A1_contig201_len940 71.8394 77 0 91
CUM29A1_contig203_len741_circularized 70.1919 64 0 216
CUM29A1_contig205_len950 64.0884 82 0 102
CUM29A1_contig206_len1567 2785.49 2683 4 3978
CUM29A1_contig207_len747_circularized 1080.25 1270 39 1397
CUM29A1_contig208_len750_circularized 70.4056 30 0 433
CUM29A1_contig20_len915 491.695 568 6 672
CUM29A1_contig210_len741_circularized 1643.84 1956 47 2125
CUM29A1_contig212_len807 102.203 55 4 417
CUM29A1_contig213_len739_circularized 3779.21 4670 107 5235
CUM29A1_contig216_len756_circularized 738.113 760 20 1596
CUM29A1_contig217_len742_circularized 1061.88 1277 42 1383
CUM29A1_contig218_len742_circularized 689.886 785 30 1064
CUM29A1_contig219_len741_circularized 176.741 70 2 1108
CUM29A1_contig21_len449 39.8909 11 2 151
CUM29A1_contig220_len750_circularized 3570.08 3921.5 145 4878
CUM29A1_contig221_len902 101.255 105 1 213
CUM29A1_contig223_len821 121.607 73 10 416
CUM29A1_contig224_len741_circularized 29.9383 31 0 54
CUM29A1_contig225_len749_circularized 257.042 294 6 381
CUM29A1_contig227_len749_circularized 206.217 230 4 390
CUM29A1_contig229_len751_circularized 2189.56 2594 78 3043
CUM29A1_contig230_len737_circularized 3134.08 3866 65 4196
CUM29A1_contig231_len826 96.04 92 0 169
CUM29A1_contig232_len709_circularized 783.93 893 18 1329
CUM29A1_contig233_len740_circularized 196.872 188 4 576
CUM29A1_contig234_len730_circularized 44.8511 12 0 319
CUM29A1_contig235_len752_circularized 77.3514 34 1 478
CUM29A1_contig237_len739_circularized 95.3082 71 1 394
CUM29A1_contig239_len739_circularized 775.285 905 21 1039
CUM29A1_contig23_len749_circularized 218.551 215 4 566
CUM29A1_contig242_len748_circularized 621.105 729 21 828
CUM29A1_contig243_len1493_circularized 2326.56 1512 63 4829
CUM29A1_contig244_len1483_circularized 308.783 213 6 606
CUM29A1_contig245_len818 527.046 616 2 681
CUM29A1_contig247_len740_circularized 114.084 60 0 644
CUM29A1_contig248_len739_circularized 70.9404 29 0 440
CUM29A1_contig249_len836 2304.2 2779 0 2912
CUM29A1_contig24_len751_circularized 81.8613 30 0 535
CUM29A1_contig252_len743_circularized 70.4177 32 0 422
CUM29A1_contig255_len862 136.753 126 1 270
CUM29A1_contig257_len865 136.312 125 3 337
CUM29A1_contig259_len750_circularized 138.301 99 2 617
CUM29A1_contig261_len740_circularized 128.404 85 0 599
CUM29A1_contig263_len751_circularized 74.3008 29 0 482
CUM29A1_contig265_len760_circularized 173.085 34 1 1250
CUM29A1_contig266_len751_circularized 88.8368 33 0 593
CUM29A1_contig26_len749_circularized 996.484 1204 35 1327
CUM29A1_contig271_len1493_circularized 461.987 575 4 899
CUM29A1_contig272_len750_circularized 128.171 91 0 563
CUM29A1_contig274_len774 119.286 105 1 290
CUM29A1_contig275_len741_circularized 150.992 58 0 979
CUM29A1_contig276_len700 49.5214 52 1 73
CUM29A1_contig277_len739_circularized 470.328 550 9 722
CUM29A1_contig278_len741_circularized 1519.63 1803 53 2016
CUM29A1_contig283_len739_circularized 83.4893 32 0 538
CUM29A1_contig285_len741_circularized 1395.88 1663 41 1876
CUM29A1_contig286_len750_circularized 72.9533 70 2 191
CUM29A1_contig287_len752_circularized 81.5421 32 0 518
CUM29A1_contig288_len833 2792.82 3479 0 3752
CUM29A1_contig289_len739_circularized 101.615 48 0 591
CUM29A1_contig28_len868 1486.93 1733.5 39 1968
CUM29A1_contig290_len739_circularized 36.9708 40 2 64
CUM29A1_contig292_len750_circularized 41.19 44 0 73
CUM29A1_contig297_len741_circularized 766.974 859 18 1030
CUM29A1_contig299_len751_circularized 169.302 154 3 547
CUM29A1_contig29_len741_circularized 3588.48 4103 82 4991
CUM29A1_contig2_len1266 161.406 193 3 485
CUM29A1_contig300_len831 557.335 452 4 1689
CUM29A1_contig302_len709_circularized 3277.21 3758 98 4339
CUM29A1_contig305_len750_circularized 163.232 181 4 231
CUM29A1_contig306_len1313 1215.7 1513 0 2457
CUM29A1_contig307_len749_circularized 1527.68 1708 37 2092
CUM29A1_contig310_len750_circularized 3886.47 4712 91 5396
CUM29A1_contig312_len749_circularized 433.606 486 17 668
CUM29A1_contig313_len751_circularized 118.475 87 1 514
CUM29A1_contig314_len750_circularized 2463.27 2721 98 3370
CUM29A1_contig316_len1504_circularized 2255.21 1565.5 29 4055
CUM29A1_contig317_len760_circularized 619.288 719.5 17 861
CUM29A1_contig319_len740_circularized 2683.54 3132 106 3720
CUM29A1_contig321_len740_circularized 75.2438 57 0 308
CUM29A1_contig322_len750_circularized 98.2611 45 0 602
CUM29A1_contig323_len741_circularized 5090.83 6189 166 7160
CUM29A1_contig324_len752_circularized 152.058 103 0 646
CUM29A1_contig327_len739_circularized 1059.3 1239 24 1719
CUM29A1_contig328_len740_circularized 168.63 95 2 915
CUM29A1_contig32_len750_circularized 183.556 172 5 522
CUM29A1_contig331_len837 103.877 55 5 443
CUM29A1_contig332_len730_circularized 365.188 389 6 767
CUM29A1_contig333_len1593 165.525 89 0 419
CUM29A1_contig335_len750_circularized 2141.22 2532 61 2871
CUM29A1_contig336_len720_circularized 158.048 88 2 779
CUM29A1_contig337_len749_circularized 150.384 134 1 488
