CONTIG AVERAGE.DEPTH MEDIAN.DEPTH MIN.DEPTH MAX.DEPTH 
D8A1_contig0_len740_circularized 1123.32 1324 25 1741
D8A1_contig100_len751_circularized 225.814 233 6 416
D8A1_contig101_len736_circularized 299.038 346 10 488
D8A1_contig102_len741_circularized 707.708 759 16 1232
D8A1_contig103_len737_circularized 372.094 425 18 561
D8A1_contig104_len740_circularized 404.604 464 8 661
D8A1_contig105_len742_circularized 573.64 621 17 885
D8A1_contig106_len752_circularized 615.292 691 33 1034
D8A1_contig107_len740_circularized 314.892 353 6 489
D8A1_contig108_len738_circularized 359.33 410 11 622
D8A1_contig109_len748_circularized 563.209 623 20 993
D8A1_contig10_len748_circularized 262.061 304 3 411
D8A1_contig12_len753 1500.16 1640 3 2133
D8A1_contig13_len960 451.128 543 0 793
D8A1_contig14_len749_circularized 680.307 761 38 1166
D8A1_contig15_len748_circularized 418.553 444 12 654
D8A1_contig16_len745_circularized 453.016 507 13 660
D8A1_contig18_len741_circularized 375.384 428 19 540
D8A1_contig19_len1695 623.866 652 3 897
D8A1_contig1_len752_circularized 373.752 435 9 597
D8A1_contig20_len745_circularized 443.734 479 5 790
D8A1_contig21_len749_circularized 545.26 561 21 1054
D8A1_contig23_len738_circularized 814.3 923.5 31 1207
D8A1_contig26_len740_circularized 380.22 439 11 557
D8A1_contig29_len749_circularized 532.403 589 9 913
D8A1_contig2_len743_circularized 1280.38 1434 36 1918
D8A1_contig31_len1488_circularized 898.623 1052.5 3 1786
D8A1_contig32_len746_circularized 577.571 605 16 1039
D8A1_contig33_len746_circularized 876.369 986 14 1369
D8A1_contig34_len717_circularized 732.627 800 23 1107
D8A1_contig36_len752_circularized 695.308 737.5 16 1206
D8A1_contig38_len844 749.66 832 4 1060
D8A1_contig39_len739_circularized 554.384 539 23 1105
D8A1_contig3_len740_circularized 666.589 739 12 1137
D8A1_contig40_len740_circularized 617.042 679 14 1112
D8A1_contig42_len750_circularized 491.642 547 8 823
D8A1_contig44_len739_circularized 566.443 673 16 824
D8A1_contig47_len749_circularized 431.165 441 18 689
D8A1_contig49_len739_circularized 752.39 841 17 1115
D8A1_contig4_len1500_circularized 517.295 553 10 726
D8A1_contig51_len742_circularized 824.415 972 19 1247
D8A1_contig52_len739_circularized 583.498 637 13 1011
D8A1_contig53_len754_circularized 766.05 873.5 20 1217
D8A1_contig54_len749_circularized 657.901 683 24 1223
D8A1_contig55_len743_circularized 610.67 621 19 1317
D8A1_contig56_len739_circularized 762.357 849 15 1341
D8A1_contig57_len896 404.228 456.5 1 583
D8A1_contig58_len739_circularized 405.793 465 13 609
D8A1_contig59_len847 412.103 445 7 607
D8A1_contig5_len748_circularized 591.91 692.5 20 967
D8A1_contig61_len739_circularized 534.706 600 16 984
D8A1_contig64_len747_circularized 683.068 707 15 1284
D8A1_contig65_len718_circularized 369.676 421 6 662
D8A1_contig66_len1034 622.007 749 0 1045
D8A1_contig67_len743_circularized 479.256 427 28 1491
D8A1_contig69_len738_circularized 557.864 616.5 17 866
D8A1_contig6_len749_circularized 796.089 902 24 1179
D8A1_contig70_len740_circularized 601.275 658.5 22 1095
D8A1_contig71_len1560 963.276 1036 19 1635
D8A1_contig72_len749_circularized 397.725 444 15 723
D8A1_contig73_len740_circularized 590.637 671.5 17 900
D8A1_contig74_len738_circularized 1360.2 1552.5 49 2150
D8A1_contig76_len746_circularized 715.828 771 21 1384
D8A1_contig77_len760_circularized 623.482 739 21 888
D8A1_contig78_len739_circularized 802.696 828 25 1455
D8A1_contig7_len749_circularized 849.306 1014 19 1221
D8A1_contig80_len749_circularized 519.23 530 14 1101
D8A1_contig83_len737_circularized 343.076 368 5 716
D8A1_contig84_len751_circularized 730.761 815 8 1391
D8A1_contig85_len895 736.754 834 3 1072
D8A1_contig86_len944 518.142 542 6 826
D8A1_contig87_len750_circularized 679.367 741.5 12 1136
D8A1_contig89_len741_circularized 775.797 868 32 1207
D8A1_contig8_len896 793.4 921 0 1102
D8A1_contig90_len739_circularized 283.305 293 7 557
D8A1_contig91_len752_circularized 522.378 551 26 834
D8A1_contig92_len749_circularized 472.016 495 18 929
D8A1_contig93_len759_circularized 717.275 825 23 1095
D8A1_contig94_len741_circularized 607.523 718 11 918
D8A1_contig99_len811 479.402 520 2 665
D8A1_contig9_len748_circularized 582.187 647.5 12 996
