CONTIG AVERAGE.DEPTH MEDIAN.DEPTH MIN.DEPTH MAX.DEPTH 
PER065A1_contig0_len741_circularized 3896.45 4402 170 5613
PER065A1_contig103_len741_circularized 989.462 1130 34 1370
PER065A1_contig104_len739_circularized 198.007 122 4 984
PER065A1_contig107_len873 118.052 137 0 179
PER065A1_contig108_len760_circularized 1880.05 2109 65 2675
PER065A1_contig110_len751_circularized 861.81 962 30 1262
PER065A1_contig111_len739_circularized 203.255 188 6 567
PER065A1_contig113_len749_circularized 4233.4 4847 150 5842
PER065A1_contig114_len881 949.311 1073 27 1286
PER065A1_contig115_len918 1005.88 1152.5 8 1357
PER065A1_contig116_len650 4260.71 5018 154 5760
PER065A1_contig120_len748_circularized 3618.3 4225 110 4820
PER065A1_contig121_len1575 1100 650 7 2163
PER065A1_contig122_len740_circularized 4529.31 5087 158 6816
PER065A1_contig124_len742_circularized 234.706 115 1 1327
PER065A1_contig125_len709_circularized 436.86 485 18 818
PER065A1_contig126_len923 1087 1317 13 1491
PER065A1_contig127_len738_circularized 8446.85 9738.5 245 11826
PER065A1_contig128_len750_circularized 2191.97 2493 66 3343
PER065A1_contig130_len837 4464.98 5016 32 5830
PER065A1_contig133_len751_circularized 592.724 635 16 1163
PER065A1_contig134_len739_circularized 1376.29 1589 44 2034
PER065A1_contig138_len775 3908.27 4445 32 4975
PER065A1_contig139_len929 260.831 299 0 436
PER065A1_contig142_len750_circularized 3194.49 3599.5 95 4435
PER065A1_contig143_len1589 1669.3 1101 12 3510
PER065A1_contig144_len742_circularized 794.575 927 35 1099
PER065A1_contig145_len752_circularized 2099.41 2371 75 2882
PER065A1_contig146_len720_circularized 736.175 842 26 1140
PER065A1_contig147_len1590 340.381 391 4 1013
PER065A1_contig148_len752_circularized 4927.35 5965.5 156 7088
PER065A1_contig149_len740_circularized 489.369 521 12 932
PER065A1_contig150_len739_circularized 2921.51 3280 117 4026
PER065A1_contig151_len741_circularized 459.544 489 9 910
PER065A1_contig154_len740_circularized 489.202 417 11 1696
PER065A1_contig156_len909 392.219 458 1 571
PER065A1_contig157_len749_circularized 1746.63 1967 46 2525
PER065A1_contig158_len741_circularized 1842.42 2119 69 2561
PER065A1_contig163_len748_circularized 481.899 458 7 1453
PER065A1_contig166_len1199 2618.42 2062 19 6251
PER065A1_contig167_len884 773.387 855 10 1146
PER065A1_contig168_len820 2346.07 2742.5 8 3074
PER065A1_contig16_len491 3692.27 4218 14 6188
PER065A1_contig170_len739_circularized 915.915 1091 23 1300
PER065A1_contig171_len739_circularized 511.472 369 14 2084
PER065A1_contig174_len764 1869.4 2017 19 2591
PER065A1_contig176_len763_circularized 431.843 365 14 1315
PER065A1_contig177_len741_circularized 1767 1849 46 2585
PER065A1_contig178_len750_circularized 485.458 510 10 1005
PER065A1_contig179_len749_circularized 2927.46 3347 96 4038
PER065A1_contig17_len748_circularized 2142.74 2411 62 3070
PER065A1_contig180_len765 3334.02 3750 32 4198
PER065A1_contig181_len750_circularized 1347.36 1488.5 44 2252
