CONTIG AVERAGE.DEPTH MEDIAN.DEPTH MIN.DEPTH MAX.DEPTH 
HB86A1_contig100_len1494 801.179 423.5 13 1977
HB86A1_contig101_len751_circularized 407.539 439 17 795
HB86A1_contig102_len1484_circularized 509.327 488 2 1426
HB86A1_contig103_len740_circularized 3885.17 4538 105 5577
HB86A1_contig104_len739_circularized 1534.2 1780 60 2133
HB86A1_contig106_len758_circularized 255.794 135 2 1405
HB86A1_contig107_len751_circularized 3875.97 4365 98 5213
HB86A1_contig108_len748_circularized 903.764 1050 23 1219
HB86A1_contig109_len748_circularized 2254.56 2430.5 93 3161
HB86A1_contig10_len720_circularized 364.005 422 8 513
HB86A1_contig111_len740_circularized 312.248 362.5 10 453
HB86A1_contig112_len742_circularized 2237.71 2559 84 3282
HB86A1_contig113_len759_circularized 684.971 825 30 993
HB86A1_contig114_len750_circularized 196.201 225 7 281
HB86A1_contig12_len752_circularized 1231.04 1176.5 33 3246
HB86A1_contig14_len755 2197.45 2410 79 3081
HB86A1_contig15_len750_circularized 1801.57 2083.5 54 2572
HB86A1_contig16_len740_circularized 609.078 683.5 20 865
HB86A1_contig1_len741_circularized 622.937 713 27 901
HB86A1_contig20_len750_circularized 1747.16 2010 46 2570
HB86A1_contig21_len832 1464.76 1666 1 1849
HB86A1_contig22_len750_circularized 1002.02 1059.5 32 1944
HB86A1_contig24_len748_circularized 614.325 648 11 1347
HB86A1_contig25_len1674 947.87 658 7 1865
HB86A1_contig26_len739_circularized 922.523 1095 32 1335
HB86A1_contig28_len744_circularized 1173.88 1391 46 1663
HB86A1_contig29_len826 1126.88 1235 22 1446
HB86A1_contig2_len739_circularized 2022.91 2320 47 2862
HB86A1_contig30_len2287 1137.08 1226 20 2250
HB86A1_contig31_len862 605.819 607.5 6 1069
HB86A1_contig32_len747_circularized 1201.39 1371 44 1727
HB86A1_contig33_len1488_circularized 1276.7 1314 26 2252
HB86A1_contig34_len742_circularized 2571.01 2911.5 72 3621
HB86A1_contig35_len750_circularized 1690.77 1887.5 49 2592
HB86A1_contig36_len750_circularized 825.104 830.5 11 1961
HB86A1_contig37_len802 2255.35 2595.5 12 3332
HB86A1_contig38_len738_circularized 458.036 520 20 717
HB86A1_contig39_len748_circularized 950.192 1040.5 44 1760
HB86A1_contig3_len740_circularized 503.934 549.5 21 950
HB86A1_contig40_len754_circularized 1079.08 1194 45 1931
HB86A1_contig41_len818 355.13 353 10 616
HB86A1_contig44_len762_circularized 1160.74 1227.5 29 2080
HB86A1_contig45_len749_circularized 944.394 1000 31 1880
HB86A1_contig46_len748_circularized 2638.36 3046.5 77 3702
HB86A1_contig47_len746_circularized 3779.15 4299 88 5625
HB86A1_contig48_len872 278.216 288 1 453
HB86A1_contig4_len748_circularized 2938.76 3374.5 75 4107
HB86A1_contig50_len747_circularized 381.355 317 12 1276
HB86A1_contig51_len742_circularized 442.04 485 19 816
HB86A1_contig52_len738_circularized 2235.37 2470.5 92 3178
HB86A1_contig54_len740_circularized 1462.96 1721 48 1961
HB86A1_contig55_len859 563.738 621 5 752
HB86A1_contig57_len819 462.534 508 5 656
HB86A1_contig59_len757_circularized 2369.96 2642 83 3483
HB86A1_contig5_len740_circularized 2796.08 3272.5 113 3803
HB86A1_contig60_len740_circularized 1191.01 1370.5 23 1660
HB86A1_contig61_len1487_circularized 789.343 678 11 1778
HB86A1_contig62_len827 1514.8 1860 3 2105
HB86A1_contig63_len1504_circularized 819.794 849 19 1480
HB86A1_contig64_len742_circularized 317.298 247 11 1239
HB86A1_contig65_len737_circularized 570.758 649 20 805
HB86A1_contig66_len739_circularized 1074.23 1201 32 1845
HB86A1_contig68_len1487_circularized 574.916 411 16 1349
HB86A1_contig69_len741_circularized 805.062 831 26 1639
HB86A1_contig70_len1001 1813.27 2244 1 2850
HB86A1_contig72_len751_circularized 406.861 419 14 912
HB86A1_contig73_len750_circularized 3994.35 4458.5 150 5535
HB86A1_contig75_len743_circularized 2402.37 2840 89 3318
HB86A1_contig77_len1720 900.041 587.5 0 1761
HB86A1_contig79_len740_circularized 1970.28 2109 66 3656
HB86A1_contig81_len739_circularized 523.837 508 8 1332
HB86A1_contig83_len750_circularized 2307.04 2614 70 3202
HB86A1_contig84_len750_circularized 809.569 800 21 1975
HB86A1_contig85_len751_circularized 1667.99 1896 50 2336
HB86A1_contig86_len741_circularized 280.493 243 3 926
HB86A1_contig87_len737_circularized 3354.38 3884 130 4620
HB86A1_contig88_len740_circularized 332.791 350 8 735
HB86A1_contig89_len743_circularized 1860.91 2166 75 2773
HB86A1_contig8_len741_circularized 1694.39 1952 46 2451
HB86A1_contig90_len751_circularized 1132.2 1254 25 1853
HB86A1_contig93_len1540 428.856 242 15 990
HB86A1_contig96_len738_circularized 224.563 126 5 1159
HB86A1_contig98_len777 596.389 639 8 837
HB86A1_contig99_len847 381.766 354 5 871
HB86A1_contig9_len750_circularized 5234.44 6273.5 229 7053
