CONTIG AVERAGE.DEPTH MEDIAN.DEPTH MIN.DEPTH MAX.DEPTH 
LC2520A1_contig0_len719_circularized 36.9448 44 2 56
LC2520A1_contig100_len909 19.6392 22 0 34
LC2520A1_contig101_len752_circularized 110.697 126 3 168
LC2520A1_contig102_len752_circularized 175.894 204 6 237
LC2520A1_contig104_len856 261.625 302 12 352
LC2520A1_contig105_len743_circularized 101.465 118 0 148
LC2520A1_contig106_len758_circularized 331.465 375 6 497
LC2520A1_contig108_len750_circularized 76.7111 90 2 122
LC2520A1_contig109_len750_circularized 134.183 154 2 176
LC2520A1_contig111_len742_circularized 133.729 157 4 187
LC2520A1_contig115_len749_circularized 74.1101 86 2 99
LC2520A1_contig118_len742_circularized 175.01 207 5 230
LC2520A1_contig119_len504 236.879 256.5 12 404
LC2520A1_contig120_len741_circularized 729.49 856 28 952
LC2520A1_contig121_len744_circularized 204.823 237 9 291
LC2520A1_contig122_len759_circularized 464.746 533 8 630
LC2520A1_contig123_len502 153.984 182.5 7 225
LC2520A1_contig125_len752_circularized 371.955 434 9 494
LC2520A1_contig127_len750_circularized 241.989 271 2 389
LC2520A1_contig128_len748_circularized 296.243 348 6 404
LC2520A1_contig129_len1560 273.835 167 5 519
LC2520A1_contig12_len749_circularized 917.717 1052 31 1256
LC2520A1_contig130_len717_circularized 85.7428 101 2 124
LC2520A1_contig131_len857 85.9918 100 2 122
LC2520A1_contig133_len750_circularized 547.724 632 15 731
LC2520A1_contig134_len751_circularized 498.445 594 5 641
LC2520A1_contig13_len740_circularized 201.244 232 5 286
LC2520A1_contig142_len751_circularized 103.926 83 1 299
LC2520A1_contig143_len750_circularized 166.186 191 3 232
LC2520A1_contig145_len740_circularized 204.217 235 1 291
LC2520A1_contig148_len748_circularized 544.864 637 14 730
LC2520A1_contig149_len741_circularized 811.123 943 22 1071
LC2520A1_contig150_len469 59.2921 66 5 99
LC2520A1_contig153_len810 733.488 882 35 938
LC2520A1_contig154_len740_circularized 165.553 195 3 215
LC2520A1_contig155_len1510 620.442 318.5 5 1327
LC2520A1_contig156_len751_circularized 555.514 642 18 755
LC2520A1_contig158_len740_circularized 29.6169 32 1 48
LC2520A1_contig159_len740_circularized 23.991 27 0 37
LC2520A1_contig160_len751_circularized 410.597 473 9 548
LC2520A1_contig161_len748_circularized 628.334 767.5 14 877
LC2520A1_contig162_len749_circularized 354.828 412 14 486
LC2520A1_contig163_len752_circularized 130.045 146 3 183
LC2520A1_contig164_len758_circularized 41.6652 46 1 62
LC2520A1_contig165_len738_circularized 394.572 472 8 537
LC2520A1_contig166_len738_circularized 697.563 829.5 21 968
LC2520A1_contig167_len739_circularized 140.816 165 6 195
LC2520A1_contig168_len740_circularized 170.646 197 6 231
LC2520A1_contig169_len741_circularized 249.379 284 4 344
LC2520A1_contig16_len752_circularized 572.144 675 10 756
LC2520A1_contig170_len741_circularized 20.0325 21 0 37
LC2520A1_contig171_len749_circularized 26.0701 28 1 38
LC2520A1_contig1_len868 25.5599 27 0 47
LC2520A1_contig26_len742_circularized 343.324 408 8 474
LC2520A1_contig30_len754_circularized 216.431 248 4 336
LC2520A1_contig35_len758_circularized 193.278 209 2 317
LC2520A1_contig36_len752_circularized 238.714 281 4 316
LC2520A1_contig37_len750_circularized 104.817 115 2 156
LC2520A1_contig38_len760_circularized 173.949 202 2 241
LC2520A1_contig3_len741_circularized 157.121 172 1 267
LC2520A1_contig40_len749_circularized 221.43 248 1 333
LC2520A1_contig41_len749_circularized 865.861 1020 35 1128
LC2520A1_contig44_len760_circularized 94.8879 112 3 131
LC2520A1_contig45_len750_circularized 1477.2 1753.5 57 1904
LC2520A1_contig46_len750_circularized 30.8344 30 1 73
LC2520A1_contig47_len836 102.673 133 0 162
LC2520A1_contig48_len709_circularized 51.5111 62 1 74
LC2520A1_contig49_len740_circularized 181.362 166 0 450
LC2520A1_contig4_len741_circularized 345.406 412 11 466
LC2520A1_contig54_len740_circularized 125.135 147 0 183
LC2520A1_contig55_len739_circularized 82.847 95 3 130
LC2520A1_contig56_len739_circularized 164.375 190 6 226
LC2520A1_contig57_len750_circularized 388.847 463 11 509
LC2520A1_contig58_len743_circularized 282.035 334 15 377
LC2520A1_contig5_len749_circularized 561.028 668 16 751
LC2520A1_contig61_len734_circularized 287.56 333 10 405
LC2520A1_contig62_len741_circularized 347.611 400 13 476
LC2520A1_contig63_len742_circularized 206.816 238 4 281
LC2520A1_contig66_len745_circularized 698.946 813 8 937
LC2520A1_contig69_len739_circularized 230.922 271 7 335
LC2520A1_contig6_len750_circularized 1350.42 1640 26 1793
LC2520A1_contig70_len751_circularized 992.395 1170 21 1309
LC2520A1_contig74_len740_circularized 785.773 920.5 18 1077
LC2520A1_contig75_len742_circularized 124.359 111.5 1 311
LC2520A1_contig76_len739_circularized 160.69 190 6 220
LC2520A1_contig80_len709_circularized 68.546 77 0 98
LC2520A1_contig81_len869 1238.65 1465 5 1655
LC2520A1_contig84_len747_circularized 624.826 666 8 994
LC2520A1_contig86_len742_circularized 352.22 414 11 472
LC2520A1_contig87_len738_circularized 277.171 327 7 371
LC2520A1_contig89_len2239_circularized 2083.02 462 71 6376
LC2520A1_contig8_len740_circularized 39.309 36 1 96
LC2520A1_contig91_len739_circularized 45.3948 43 0 110
LC2520A1_contig92_len737_circularized 372.805 446 8 483
LC2520A1_contig95_len752_circularized 259.616 302 10 346
LC2520A1_contig96_len1481_circularized 428.341 387 7 651
LC2520A1_contig97_len503 204.857 251 16 285
LC2520A1_contig9_len740_circularized 136.521 158 5 194
