CONTIG AVERAGE.DEPTH MEDIAN.DEPTH MIN.DEPTH MAX.DEPTH 
La36A1_contig0_len746_circularized 815.848 891 25 1445
La36A1_contig11_len901 1335.2 1594 0 1966
La36A1_contig12_len740_circularized 1350.86 1536.5 49 2190
La36A1_contig13_len829 1025.5 1134 10 1485
La36A1_contig14_len752_circularized 1475.01 1622 55 2568
La36A1_contig15_len1610 813.502 391 1 2117
La36A1_contig17_len737_circularized 336.746 366 7 552
La36A1_contig1_len740_circularized 497.208 534 15 822
La36A1_contig20_len905 189.466 189 4 425
La36A1_contig21_len958 432.108 527 0 726
La36A1_contig22_len880 251.201 278.5 1 399
La36A1_contig24_len718_circularized 1637.48 1767.5 32 3072
La36A1_contig28_len749_circularized 694.778 741 23 1206
La36A1_contig29_len740_circularized 586.153 661 10 1034
La36A1_contig2_len752_circularized 437.424 454 9 785
La36A1_contig31_len739_circularized 535.049 586 17 879
La36A1_contig34_len741_circularized 2116.1 2414 42 3195
La36A1_contig37_len709_circularized 722.859 817 25 1182
La36A1_contig39_len1613 323.036 256 0 731
La36A1_contig3_len748_circularized 1088.45 1203.5 34 1886
La36A1_contig40_len745_circularized 346.708 349 8 746
La36A1_contig41_len739_circularized 1458.04 1598 50 2482
La36A1_contig42_len848 516.439 538 9 1053
La36A1_contig44_len742_circularized 744.79 821 26 1152
La36A1_contig45_len1500_circularized 538.446 522.5 40 1450
La36A1_contig47_len739_circularized 698.345 735 25 1249
La36A1_contig48_len759_circularized 382.351 376 10 941
La36A1_contig49_len751_circularized 1363.62 1563 53 2047
La36A1_contig4_len749_circularized 212.299 221 4 424
La36A1_contig50_len747_circularized 862.454 927 19 1389
La36A1_contig53_len740_circularized 261.282 245 10 572
La36A1_contig55_len751_circularized 371.362 220 4 1919
La36A1_contig56_len749_circularized 1159.37 1230 28 2003
La36A1_contig57_len746_circularized 1348.97 1496.5 46 2188
La36A1_contig58_len740_circularized 1236.52 1319.5 37 2446
La36A1_contig59_len746_circularized 249.769 251 3 555
La36A1_contig60_len742_circularized 790.573 798.5 21 1813
La36A1_contig61_len937 299.698 312 0 494
La36A1_contig62_len741_circularized 627.281 699 20 1124
La36A1_contig63_len738_circularized 401.108 412 7 876
La36A1_contig64_len922 678.45 773 2 1154
La36A1_contig65_len1614 958.315 570 2 2284
La36A1_contig66_len1583 520.738 515 2 1088
La36A1_contig67_len2315 1451.82 1603 4 3670
La36A1_contig69_len750_circularized 836.77 753 14 2479
La36A1_contig6_len1732 751.494 619.5 0 1515
La36A1_contig70_len754_circularized 737.345 818 19 1238
La36A1_contig71_len746_circularized 641.571 625 20 1504
La36A1_contig73_len748_circularized 870.418 878 20 1811
La36A1_contig74_len749_circularized 1713.9 1871 88 2866
La36A1_contig76_len741_circularized 1281.37 1380 26 2174
La36A1_contig78_len1654 1226.85 678 0 3121
La36A1_contig7_len847 1309.24 1382 28 1960
La36A1_contig80_len747_circularized 292.518 302 10 679
La36A1_contig81_len746_circularized 236.359 250 4 413
La36A1_contig82_len752_circularized 474.126 488 25 881
La36A1_contig83_len750_circularized 232.876 246 6 381
La36A1_contig84_len738_circularized 649.696 709.5 18 1118
La36A1_contig85_len743_circularized 151.193 169 11 253
La36A1_contig86_len738_circularized 570.78 598.5 20 1082
La36A1_contig87_len749_circularized 55.4549 62 2 105
La36A1_contig88_len743_circularized 48.2262 52 5 79
La36A1_contig89_len751_circularized 909.868 977 20 1464
La36A1_contig8_len738_circularized 382.521 341 7 1171
La36A1_contig90_len741_circularized 30.4893 33 1 52
La36A1_contig91_len751_circularized 650.221 696 21 1216
La36A1_contig92_len742_circularized 856.701 972.5 31 1221
La36A1_contig93_len747_circularized 166.667 182 5 278
La36A1_contig94_len748_circularized 176.612 174 7 394
La36A1_contig95_len748_circularized 709.022 787 36 1182
La36A1_contig9_len749_circularized 929.68 1029 30 1544
