CONTIG AVERAGE.DEPTH MEDIAN.DEPTH MIN.DEPTH MAX.DEPTH 
LH825B2_contig0_len740_circularized 171.391 200 4 248
LH825B2_contig102_len749_circularized 61.089 71 2 88
LH825B2_contig104_len724 254.605 293 12 342
LH825B2_contig107_len738_circularized 198.804 216 7 329
LH825B2_contig109_len740 153.886 178 5 212
LH825B2_contig115_len741_circularized 196.675 216 6 314
LH825B2_contig11_len431 14.29 15 2 26
LH825B2_contig121_len742_circularized 119.652 133 2 171
LH825B2_contig122_len750_circularized 224.778 257 12 310
LH825B2_contig123_len752_circularized 239.501 282 8 317
LH825B2_contig124_len742 6.42453 6 1 16
LH825B2_contig125_len1550 278.365 291 0 401
LH825B2_contig128_len1589 537.189 586 0 719
LH825B2_contig12_len748_circularized 138.331 160 2 201
LH825B2_contig130_len737_circularized 108.618 126 2 154
LH825B2_contig133_len742_circularized 121.807 134 4 172
LH825B2_contig134_len1477 196.284 73 3 447
LH825B2_contig139_len741_circularized 282.606 330 14 363
LH825B2_contig13_len750_circularized 12.0611 9 0 40
LH825B2_contig140_len485 356.408 445 24 525
LH825B2_contig141_len745_circularized 761.911 877 30 1051
LH825B2_contig142_len739_circularized 187.434 211 2 298
LH825B2_contig143_len1481_circularized 42.973 39 1 95
LH825B2_contig145_len751_circularized 278.492 307 12 472
LH825B2_contig146_len760_circularized 57.5692 63 1 106
LH825B2_contig147_len740_circularized 22.9551 27 0 35
LH825B2_contig148_len751_circularized 54.5061 57 1 107
LH825B2_contig14_len758_circularized 116.635 122 5 187
LH825B2_contig150_len741_circularized 24.2121 26 1 39
LH825B2_contig152_len737_circularized 131.69 146 1 214
LH825B2_contig153_len739_circularized 187.241 214 9 260
LH825B2_contig154_len740_circularized 71.8315 79.5 5 112
LH825B2_contig155_len1552 24.4704 25 0 41
LH825B2_contig158_len751_circularized 277.131 321 6 395
LH825B2_contig159_len448 82.5246 96 1 122
LH825B2_contig161_len741_circularized 68.0887 77 1 102
LH825B2_contig164_len739_circularized 24.2463 23 0 54
LH825B2_contig169_len752_circularized 40.0665 44 1 58
LH825B2_contig16_len736 227.977 262 15 322
LH825B2_contig170_len502 74.5618 91 3 114
LH825B2_contig179_len742_circularized 22.5762 22 0 41
LH825B2_contig182_len740_circularized 17.6225 8 0 73
LH825B2_contig183_len749_circularized 62.0478 57 1 150
LH825B2_contig184_len761_circularized 31.775 29 1 75
LH825B2_contig185_len750_circularized 172.9 197 5 244
LH825B2_contig190_len750_circularized 102.699 94 0 253
LH825B2_contig196_len760_circularized 64.2264 66 2 119
LH825B2_contig198_len750_circularized 65.5744 72 2 113
LH825B2_contig19_len1462_circularized 105.37 67 3 409
LH825B2_contig1_len772 25.1088 28 1 41
LH825B2_contig200_len750_circularized 49.3744 55 2 76
LH825B2_contig204_len760_circularized 29.7308 28 0 70
LH825B2_contig205_len751_circularized 64.5805 68 4 112
LH825B2_contig206_len1499_circularized 187.546 221 1 323
LH825B2_contig208_len741_circularized 64.6554 74 2 96
LH825B2_contig209_len1501_circularized 96.877 90 0 217
LH825B2_contig210_len943 96.772 78 4 276
LH825B2_contig212_len465 174.806 204 4 287
LH825B2_contig213_len1498_circularized 57.0595 55 0 126
LH825B2_contig214_len751_circularized 49.7747 54 1 87
LH825B2_contig215_len753_circularized 22.5293 19 0 57
LH825B2_contig216_len1053 106.901 79 8 354
LH825B2_contig21_len750_circularized 15.9011 12 0 48
LH825B2_contig220_len750_circularized 20.8444 22 0 33
LH825B2_contig221_len749_circularized 100.843 111 7 140
LH825B2_contig222_len752_circularized 89.6807 103 0 129
LH825B2_contig223_len740_circularized 137.634 159 6 203
LH825B2_contig224_len742_circularized 238.379 273 5 326
LH825B2_contig225_len749_circularized 507.085 586 22 706
LH825B2_contig228_len741_circularized 34.5567 29 1 100
LH825B2_contig229_len440 160.166 187 13 254
LH825B2_contig22_len741_circularized 100.2 120 3 139
LH825B2_contig230_len739_circularized 88.8999 93 4 163
LH825B2_contig232_len741_circularized 79.9686 85 1 151
LH825B2_contig233_len763_circularized 287.763 329 4 421
LH825B2_contig234_len740_circularized 69.8674 79 2 100
LH825B2_contig235_len742_circularized 366.626 438 9 545
LH825B2_contig248_len756_circularized 47.9194 53 1 71
LH825B2_contig24_len741_circularized 66.1695 78 4 92
LH825B2_contig255_len709_circularized 252.901 294 9 340
LH825B2_contig256_len848 276.057 328 1 364
LH825B2_contig258_len1484_circularized 334.124 277 2 652
LH825B2_contig259_len856 151.786 172 0 217
LH825B2_contig25_len751_circularized 152.527 169 6 222
LH825B2_contig261_len741_circularized 78.0763 86 2 123
LH825B2_contig263_len740_circularized 57.9551 69 1 87
LH825B2_contig265_len750_circularized 141.089 165 1 197
LH825B2_contig266_len858 24.6259 25 0 41
LH825B2_contig268_len741_circularized 106.53 109 0 201
LH825B2_contig269_len760_circularized 121.256 138 4 168
LH825B2_contig270_len474 79.443 91.5 5 124
LH825B2_contig271_len740_circularized 137.772 153.5 2 214
LH825B2_contig272_len456 219.439 254 17 344
LH825B2_contig276_len741_circularized 120.916 134 8 179
LH825B2_contig277_len742_circularized 44.9529 49 1 78
LH825B2_contig27_len428 139.255 145 13 230
LH825B2_contig282_len750_circularized 549.231 634 13 737
LH825B2_contig283_len752_circularized 22.3359 20 0 58
LH825B2_contig284_len740_circularized 25.3034 29 1 42
LH825B2_contig285_len570 389.277 451 18 583
LH825B2_contig287_len839 32.3897 35 0 45
LH825B2_contig28_len742_circularized 94.8643 101.5 4 176
LH825B2_contig291_len1491_circularized 127.517 111 2 444
LH825B2_contig293_len742_circularized 70.2848 75 1 123
LH825B2_contig296_len750_circularized 84.1467 98 2 131
LH825B2_contig298_len749_circularized 66.2881 73 1 109
LH825B2_contig300_len739_circularized 50.7683 55 0 86
LH825B2_contig304_len742_circularized 20.5516 20 0 49
LH825B2_contig306_len449 199.784 229 10 309
LH825B2_contig308_len749_circularized 33.5829 37 3 60
LH825B2_contig309_len750_circularized 75.0933 86 1 112
LH825B2_contig310_len759_circularized 64.7756 52 0 185
LH825B2_contig312_len740_circularized 149.665 170 3 216
LH825B2_contig314_len429 134.156 143 10 218
LH825B2_contig316_len739_circularized 146.313 167 4 213
LH825B2_contig319_len739_circularized 361.268 411 13 492
LH825B2_contig320_len739_circularized 169.243 192 11 270
LH825B2_contig322_len751_circularized 85.7248 89 1 165
LH825B2_contig324_len762_circularized 49.477 27 0 187
LH825B2_contig325_len1563 216.461 133 8 438
LH825B2_contig326_len742_circularized 67.8576 79 2 99
LH825B2_contig327_len750_circularized 25.5233 25 1 56
LH825B2_contig328_len749_circularized 25.5551 21 0 77
LH825B2_contig329_len730_circularized 98.2239 106 6 171
LH825B2_contig330_len759_circularized 50.1683 57 1 71
LH825B2_contig332_len741_circularized 70.5006 75 2 124
LH825B2_contig333_len745_circularized 132.163 139 9 218
LH825B2_contig334_len750_circularized 271.934 309 4 395
LH825B2_contig335_len750_circularized 15.62 17 0 27
LH825B2_contig337_len1253 192.397 268 5 350
LH825B2_contig338_len739_circularized 138.235 117 3 362
LH825B2_contig339_len740_circularized 105.36 99 4 235
LH825B2_contig33_len430 174.379 172 11 332
LH825B2_contig341_len749_circularized 260.357 305 9 344
LH825B2_contig342_len749_circularized 375.464 445 9 540
LH825B2_contig344_len750_circularized 388.342 438 18 547
LH825B2_contig345_len760_circularized 497.548 581.5 16 667
LH825B2_contig346_len759_circularized 96.1892 109 6 141
LH825B2_contig347_len573 49.4712 56 0 80
LH825B2_contig34_len752_circularized 284.745 328 1 394
LH825B2_contig351_len739_circularized 129.784 137 4 236
LH825B2_contig352_len739_circularized 226.161 260 11 311
LH825B2_contig353_len413 149.397 156 11 269
LH825B2_contig355_len1501_circularized 199.276 209 4 272
LH825B2_contig356_len740_circularized 220.421 239 6 324
LH825B2_contig357_len751_circularized 25.3485 28 0 41
LH825B2_contig362_len741_circularized 36.908 41 1 64
LH825B2_contig364_len739 6.06901 7 0 11
LH825B2_contig367_len741_circularized 251.172 292 8 338
LH825B2_contig369_len744_circularized 20.5358 22 0 37
LH825B2_contig370_len750_circularized 10.4122 9 0 32
LH825B2_contig371_len742_circularized 42.6895 20 0 178
LH825B2_contig373_len1491_circularized 177.128 151 5 389
LH825B2_contig375_len740_circularized 89.0112 103 2 127
LH825B2_contig378_len751_circularized 130.432 139 4 203
LH825B2_contig37_len740_circularized 82.2528 81 2 171
LH825B2_contig381_len739_circularized 289.918 341 6 387
LH825B2_contig382_len1094 315.677 307 15 527
LH825B2_contig383_len1508_circularized 156.379 120.5 0 461
LH825B2_contig385_len740_circularized 38.0438 38 0 81
LH825B2_contig387_len750_circularized 44.4044 43 0 88
LH825B2_contig389_len741_circularized 47.8519 45 1 107
LH825B2_contig38_len753_circularized 294.343 351 9 396
LH825B2_contig391_len748_circularized 34.8207 35 0 67
LH825B2_contig392_len742_circularized 60.4552 59 2 133
LH825B2_contig394_len753_circularized 30.3178 34 0 48
LH825B2_contig395_len740_circularized 161.689 188 2 247
LH825B2_contig396_len739_circularized 158.339 175 6 227
LH825B2_contig397_len584 4.28596 4 0 11
LH825B2_contig398_len748_circularized 161.006 173 3 287
LH825B2_contig399_len709_circularized 127.175 143 1 185
LH825B2_contig3_len458 40.3755 45 3 67
LH825B2_contig404_len749_circularized 18.1624 18 0 54
LH825B2_contig406_len742_circularized 179.567 203.5 4 259
LH825B2_contig410_len752_circularized 30.52 16 0 126
LH825B2_contig412_len750_circularized 35.3422 35 0 82
LH825B2_contig413_len738_circularized 58.0631 68 1 85
LH825B2_contig415_len737_circularized 20.3856 21 1 37
LH825B2_contig417_len742_circularized 239.336 280 8 318
LH825B2_contig41_len1593 172.722 106 15 313
LH825B2_contig422_len865 190.031 217 0 251
LH825B2_contig423_len750_circularized 63.2511 58 1 152
LH825B2_contig424_len749_circularized 265.696 292 6 398
LH825B2_contig425_len761_circularized 185.956 202 5 304
LH825B2_contig426_len791 207.326 249 0 298
LH825B2_contig427_len749_circularized 61.1613 67 0 94
LH825B2_contig438_len515 62.1883 73 2 95
LH825B2_contig439_len433 49.8499 55 3 85
LH825B2_contig441_len672 230.385 265 12 351
LH825B2_contig443_len751_circularized 21.9057 13 0 87
LH825B2_contig446_len740_circularized 11.7708 13 0 25
LH825B2_contig44_len763 5.78375 5 0 13
LH825B2_contig454_len741_circularized 49.3266 51 1 91
LH825B2_contig455_len740_circularized 177.866 198 6 258
LH825B2_contig456_len749_circularized 17.6162 19 0 32
LH825B2_contig457_len741_circularized 71.0629 82 2 111
LH825B2_contig458_len741_circularized 217.725 256 6 298
LH825B2_contig459_len742_circularized 40.509 47 0 58
LH825B2_contig460_len739_circularized 197.37 213 9 295
LH825B2_contig461_len749_circularized 53.1057 60 1 80
LH825B2_contig462_len741_circularized 31.4097 33 0 57
LH825B2_contig463_len752_circularized 42.9845 47 1 74
LH825B2_contig464_len752_circularized 41.8481 48 2 62
LH825B2_contig465_len740_circularized 75.5685 87 4 111
LH825B2_contig466_len748_circularized 133.548 148 4 188
LH825B2_contig467_len743_circularized 76.2912 83 4 109
LH825B2_contig468_len741_circularized 217.814 231 6 350
LH825B2_contig46_len734_circularized 18.5226 14 0 56
LH825B2_contig47_len576 421.804 498.5 16 590
LH825B2_contig48_len1490_circularized 159.741 171 3 212
LH825B2_contig49_len742_circularized 68.2074 72 0 107
LH825B2_contig50_len442 105.482 119 11 173
LH825B2_contig53_len742_circularized 97.4249 106 1 168
LH825B2_contig55_len740_circularized 146.499 166 8 205
LH825B2_contig56_len751_circularized 46.293 39 1 106
LH825B2_contig57_len783 114.989 129 8 168
LH825B2_contig5_len751_circularized 127.622 147 2 170
LH825B2_contig61_len760_circularized 395.908 452 14 582
LH825B2_contig64_len746_circularized 23.1283 22 0 60
LH825B2_contig65_len748_circularized 480.579 540 20 673
LH825B2_contig69_len749_circularized 22.644 19 2 58
LH825B2_contig6_len760_circularized 67.8527 61 3 150
LH825B2_contig70_len740_circularized 12.3494 14 0 19
LH825B2_contig71_len751_circularized 30.707 34 1 50
LH825B2_contig72_len638 147.517 147 10 278
LH825B2_contig73_len431 76.348 83 7 125
LH825B2_contig75_len743_circularized 209.598 245 12 280
LH825B2_contig77_len719_circularized 245.527 273 8 371
LH825B2_contig7_len750_circularized 585.648 663 13 804
LH825B2_contig86_len741_circularized 46.3468 53 1 66
LH825B2_contig88_len739_circularized 188.358 219 5 258
LH825B2_contig8_len751_circularized 72.2442 78 2 121
LH825B2_contig91_len748_circularized 273.689 306.5 9 383
LH825B2_contig96_len420 199.481 216.5 17 321
LH825B2_contig99_len741_circularized 110.138 116 2 196
LH825B2_contig9_len750_circularized 243.994 278 6 350
