CONTIG AVERAGE.DEPTH MEDIAN.DEPTH MIN.DEPTH MAX.DEPTH 
LCA09A1_contig0_len738_circularized 545.15 612 17 835
LCA09A1_contig11_len833 1537.43 1743 4 2059
LCA09A1_contig13_len924 65.9621 57 1 181
LCA09A1_contig14_len748_circularized 65.4243 69 1 104
LCA09A1_contig15_len747_circularized 400.79 426 18 728
LCA09A1_contig17_len2339 584.903 717 20 1088
LCA09A1_contig19_len750_circularized 554.351 596 20 959
LCA09A1_contig20_len749_circularized 690.198 787 25 1082
LCA09A1_contig21_len740_circularized 790.693 891.5 15 1244
LCA09A1_contig22_len752_circularized 631.298 709 18 949
LCA09A1_contig23_len740_circularized 534.042 606 17 809
LCA09A1_contig26_len817 347.443 383 1 454
LCA09A1_contig29_len747_circularized 356.584 351 3 942
LCA09A1_contig2_len748_circularized 895.621 977 31 1319
LCA09A1_contig30_len748_circularized 796.905 883 26 1220
LCA09A1_contig31_len742_circularized 588.656 652.5 14 1016
LCA09A1_contig32_len872 526.617 583 2 738
LCA09A1_contig33_len742_circularized 2783.73 3220.5 93 3711
LCA09A1_contig37_len1476_circularized 563.008 509 4 891
LCA09A1_contig38_len738_circularized 257.257 288 12 393
LCA09A1_contig39_len836 255.383 260 3 447
LCA09A1_contig3_len743_circularized 958.622 1108 36 1316
LCA09A1_contig40_len752_circularized 145.17 160 4 250
LCA09A1_contig41_len1565 362.14 370 0 691
LCA09A1_contig42_len738_circularized 243.818 267 6 390
LCA09A1_contig43_len741_circularized 750.296 883 32 1055
LCA09A1_contig46_len737_circularized 297.122 335 4 436
LCA09A1_contig47_len939 588.876 696 0 904
LCA09A1_contig48_len1744 634.149 507 1 1182
LCA09A1_contig49_len749_circularized 875.07 979 23 1362
LCA09A1_contig4_len751_circularized 1962.27 2273 49 2721
LCA09A1_contig51_len864 815.073 901 4 1145
LCA09A1_contig52_len758_circularized 242.627 246 7 510
LCA09A1_contig53_len884 241.437 280 2 328
LCA09A1_contig54_len741_circularized 1057.7 1196 37 1648
LCA09A1_contig55_len853 616.601 665 4 895
LCA09A1_contig56_len738_circularized 991.591 1143.5 31 1414
LCA09A1_contig58_len1593 342.668 360 1 492
LCA09A1_contig59_len751_circularized 148.437 141 3 417
LCA09A1_contig5_len752_circularized 588.212 683.5 12 837
LCA09A1_contig60_len740_circularized 236.971 241 7 498
LCA09A1_contig61_len749_circularized 235.671 252 3 434
LCA09A1_contig62_len742_circularized 401.877 447 9 674
LCA09A1_contig63_len718_circularized 536.251 613 19 794
LCA09A1_contig65_len740_circularized 1711.76 2015 32 2446
LCA09A1_contig67_len738_circularized 1139.13 1271 31 1786
LCA09A1_contig68_len740_circularized 1958.71 2288.5 61 2797
LCA09A1_contig69_len1539 424.889 313 0 973
LCA09A1_contig6_len739_circularized 939.769 1092 39 1326
LCA09A1_contig70_len759_circularized 124.32 116 2 314
LCA09A1_contig71_len749_circularized 1264.28 1435 48 1876
LCA09A1_contig72_len1660 576.887 417.5 1 1102
LCA09A1_contig76_len738_circularized 620.179 669 17 961
LCA09A1_contig77_len739_circularized 133.976 151 6 199
LCA09A1_contig7_len738_circularized 60.5259 52 2 192
LCA09A1_contig81_len1008 82.1796 87 0 198
LCA09A1_contig82_len742_circularized 575.971 662 17 795
LCA09A1_contig83_len759_circularized 775.102 905 28 1098
LCA09A1_contig84_len746_circularized 561.017 666 16 755
LCA09A1_contig85_len740_circularized 167.618 188 8 238
LCA09A1_contig86_len747_circularized 156.194 179 2 253
LCA09A1_contig87_len740_circularized 193.676 228 8 275
LCA09A1_contig88_len748_circularized 127.193 139 4 176
LCA09A1_contig89_len709_circularized 413.576 473 18 651
LCA09A1_contig8_len743_circularized 752.713 846 41 1128
LCA09A1_contig90_len751_circularized 1025.12 1168 37 1606
LCA09A1_contig91_len739_circularized 431.974 481 16 672
LCA09A1_contig92_len748_circularized 381.739 442 15 548
LCA09A1_contig93_len739_circularized 370.078 399 12 696
LCA09A1_contig94_len750_circularized 271.913 316.5 11 373
LCA09A1_contig95_len743_circularized 343.793 406 11 484
LCA09A1_contig9_len1499_circularized 589.257 626 12 844
